cell,Donor,Region,MajorType
HBA_200622_H1930001_A46_1_P7-2-L17-D4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-E15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-E16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-E3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-F3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-F4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-H15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-H16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-I16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-I4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-J16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-J3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-L15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-M4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-2-L17-N3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-A8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-B20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-D7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-E8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-H19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-H20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-I20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-J20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-K20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-M20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-4-M8-O7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-B16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-D16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-E16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-E3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-F16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-F3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-F4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-G16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-H16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-H4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-I16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-J16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-K16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-K4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-L4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-M16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-N3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-2-P4-O15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-A16,h1930001,A46,L2/3 IT
