cell,Donor,Region,MajorType
HBA_200708_H1930002_CX51_A1C_1_P1-1-O3-P14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-A11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-A24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-B12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-B24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-C12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-D24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-E12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-F12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-F23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-H11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-H12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-J11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-J12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-J24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-K11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-K23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-L23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-L24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-M12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-M23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-M24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-N12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-N24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-P11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P7-6-L18-P23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-A16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-B15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-B3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-C3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-D16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-D3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-D4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-E16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-F15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-F16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-F4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-G3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-H15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-I4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-O15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-P16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-2-J15-P3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-A1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-A14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-B1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-B2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-C14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-D13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-E2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-F13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-H13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-H2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-J1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-K13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-K14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-L2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-M1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-M14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-N2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-O1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-O13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-O14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-1-C15-P14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-A13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-B2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-C13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-D14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-D2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-E1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-E13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-E14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-E2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-F1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-F13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-G13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-G2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-H13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-H2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-I1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-I13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-J1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-J13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-J2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-K13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-K14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-K2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-L14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-N1,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-N2,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-O13,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-1-P17-O14,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-A17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-C5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-D5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-D6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-E17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-E18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-G17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-G18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-G5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-H6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-I17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-J5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-J6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-K17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-K6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-L17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-M17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-M6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-N5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-O17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-O18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-O6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-P17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-P18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-3-O2-P6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-B19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-B7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-B8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-C20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-C7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-D7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-F19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-F20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-F7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-F8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-G20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-H20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-H7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-H8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-I8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-J19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-J20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-J8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-K7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-L20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-L7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-M19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-M20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-M7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-M8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-N19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-N8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-O20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-O7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-O8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-P19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-4-N7-P7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-A23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-A24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-B11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-B12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-B23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-C11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-C24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-E12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-E23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-F12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-G11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-G12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-G23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-G24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-H11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-H12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-H23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-H24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-I23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-J11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-J24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-M11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-M24,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-N11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-N12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-N23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-O11,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-O12,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P1-6-E2-P23,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-A10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-B10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-B9,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-D10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-E9,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-F21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-F9,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-G21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-G9,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-H21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-H9,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-I10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-I22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-J22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-K22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-L10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-L21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-N21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-P21,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P8-5-B17-P22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-B4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-C15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-C3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-D16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-E15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-E16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-E3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-F16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-F4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-G16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-G3,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-G4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-J15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-J16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-K16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-K4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-M15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-M4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-N15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-N4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-O4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-P15,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-P16,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P5-2-A3-P4,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-A19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-B19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-B8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-D8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-E20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-E8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-F20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-G19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-G20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-G7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-H19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-H7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-H8,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-I19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-K19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-K7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-M19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-M20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-M7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-N19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-O19,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-O20,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-O7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-4-P15-P7,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-A10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-C10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-E22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-F22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-I10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-I22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-M22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-N10,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P6-5-M11-O22,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-A6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-B5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-B6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-C5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-D17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-D18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-D5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-E17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-E18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-F17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-F5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-F6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-G18,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-G6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-H17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-H5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-I17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-I6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-K17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-K5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-L5,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-L6,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-M17,h1930002,A1C,L2/3 IT
HBA_200708_H1930002_CX51_A1C_1_P4-3-F15-M5,h1930002,A1C,L2/3 IT
